Categorie,Subcategorie,SUB-SUBCATEGORIE,Colectie,Nume produs,Variante culori,Link variante,COD REFERINTA
,,SEMI-INCASTRATE,Porcelain,Buelna,White,https://www.thebathcollection.com/en/products/buelna/#colocacion,BAT_4124
,,,,Colloto,White,https://www.thebathcollection.com/en/products/colloto/,BAT_0515
,,,,Verona,White,https://www.thebathcollection.com/en/products/verona/,BAT_0538
,,,,Satélite,White,https://www.thebathcollection.com/en/products/satellite/,BAT_0578
,,,,Manhattan,White,https://www.thebathcollection.com/en/products/manhattan-1000/,BAT_0506
,,,,,,https://www.thebathcollection.com/en/products/manhattan-800/,BAT_0505
,,,Stone,Vulka,Beige,https://www.thebathcollection.com/en/products/vulka-beige/#colocacion,BAT_00369D
,,,,,Black,https://www.thebathcollection.com/en/products/black-vulka/,BAT_00370D
,,FREESTANDING,Porcelain,Belted Columna,Taupe,https://www.thebathcollection.com/en/products/belted-columna-taupe/#material,BAT_6069
,,,,,Paprika,https://www.thebathcollection.com/en/products/belted-columna-paprika/#colocacion,BAT_6070
,,,,,Ocean,https://www.thebathcollection.com/en/products/belted-columna-ocean/,BAT_6071
,,,,,Azure,https://www.thebathcollection.com/en/products/belted-columna-azure/,BAT_6072
,,,,,Pale,https://www.thebathcollection.com/en/products/belted-columna-pale/,BAT_6073
,,,,,Nero,https://www.thebathcollection.com/en/products/belted-columna-nero/,BAT_6074
,,,,Arenas,White,https://www.thebathcollection.com/en/products/sands/,BAT_4164
,,,,Barros,White,https://www.thebathcollection.com/en/products/barros/,BAT_6013
,,,Stone,Bohol,Gray,https://www.thebathcollection.com/en/products/gray-bohol/,BAT_00649
,,,,,Doreng,https://www.thebathcollection.com/en/products/bohol-doreng/,BAT_00650
,,,,,Beige,https://www.thebathcollection.com/en/products/bohol-beige/,BAT_00648
,,,,Striae pedestal,Beige,https://www.thebathcollection.com/en/products/striae-pedestal-beige/,BAT_00606
,,,,,Black,https://www.thebathcollection.com/en/products/striae-black-pedestal/,BAT_00607
,,,,Fuji Pedestal,Grey,https://www.thebathcollection.com/en/products/fuji-grey/,BAT_00672
,,,,,Brown Trotol,https://www.thebathcollection.com/en/products/fuji-brown-trotol/,BAT_00673
,,,,,Pink,https://www.thebathcollection.com/en/products/fuji-pink/,BAT_00674
,,,WOOD,Damasco Pedestal,Bamboo,https://www.thebathcollection.com/en/products/damasco-pedestal/,BAT_5055
,,,,,Brushed steel,https://www.thebathcollection.com/en/products/damasco-pedestal-brushed/,BAT_5056
,,,,,Gun metal,https://www.thebathcollection.com/en/products/damasco-pedestal-gun-metal/,BAT_5057
,,,,Treviso pedestal,Brushed steel,https://www.thebathcollection.com/en/products/treviso-brushed-pedestal/,BAT_5025
,,,,,Gun metal,https://www.thebathcollection.com/en/products/treviso-pedestal-gunmetal/,BAT_5026
,,,,Kalasin,bamboo,https://www.thebathcollection.com/en/products/kalasin/,BAT_8274
,,,Metallic,Detroit pedestal,Gun Metal,https://www.thebathcollection.com/en/products/detroit-pedestal-gunmetal/,BAT_8349
,,,,,Bronze,https://www.thebathcollection.com/en/products/detroit-pedestal-bronce/,BAT_8350
,,,,,Brushed steel,https://www.thebathcollection.com/en/products/detroit-pedestal-cepillado/,BAT_8348
,,,,Malay A,Gray,https://www.thebathcollection.com/en/products/gray-malay/,BAT_8369
,,,,,White,https://www.thebathcollection.com/en/products/malay-blanco/,BAT_8370
,,,,,Rose Gold,https://www.thebathcollection.com/en/products/malay-rosegold/,BAT_8371
,,,,Malay B,Rose Gold,https://www.thebathcollection.com/en/products/malay-b-rosegold/,BAT_8374
,,,,,Gray,https://www.thebathcollection.com/en/products/malay-b-gris/,BAT_8372
,,,,,White,https://www.thebathcollection.com/en/products/malay-b-blanco/,BAT_8373
,DUSURI,DUS,Stone,Versailles,Beige,https://www.thebathcollection.com/en/products/versalles-beige-shower-tray/,BAT_00352
,,,,,Black,https://www.thebathcollection.com/en/products/black-versalles-shower-tray/,BAT_00353
,,,,Oco,Beige,https://www.thebathcollection.com/en/products/plato-de-ducha-oco-beige/,BAT_00344
,,,,,Black,https://www.thebathcollection.com/en/products/plato-de-ducha-oco-negro/,BAT_00345
,,,,Simi,Beige,https://www.thebathcollection.com/en/products/simi-shower-tray/,BAT_00334
,,,,Icono,Beige,https://www.thebathcollection.com/en/products/icon-shower-tray/,BAT_00340
,CAZI,CAZI,Stone,Simi bathtub,Beige,https://www.thebathcollection.com/en/products/simi-beige-bathtub/,BAT_00336
,,,,,Black,https://www.thebathcollection.com/en/products/simi-bench-black/,BAT_00337
,ACCESORII SI PIESE TEHNICE,PIEDESTALE,Complements,Chester,Black,https://www.thebathcollection.com/en/products/black-chester/,BAT_8229
,,,,,White,https://www.thebathcollection.com/en/products/white-chester/,BAT_8228
,,,,Pedestal steel bars,Gray,https://www.thebathcollection.com/en/products/pedestal-steel-bars/,BAT_8216
,,,,Pedestal wooden bars,WOOD,https://www.thebathcollection.com/en/products/pedestal-wooden-bars/,BAT_8226
,,,,Wooden pedestal 440,WOOD,https://www.thebathcollection.com/en/products/circular-wooden-pedestal/,BAT_8224
,,,,Wooden pedestal 570,WOOD,https://www.thebathcollection.com/en/products/pedestal-de-madera-cuadrado/,BAT_8225
,,,,Halong,WOOD,https://www.thebathcollection.com/en/products/halong-bamboo/,BAT_8268
,,,,Sisaket,WOOD,https://www.thebathcollection.com/en/products/sisaket/,BAT_8273
,,,,Pleiku,WOOD,https://www.thebathcollection.com/en/products/pleiku/,BAT_8272
,,ACCESORII,siphon,Round siphon,Rose Gold,https://www.thebathcollection.com/en/products/bronze-round-siphon/,BAT_0209RG
,,,,,Metal,https://www.thebathcollection.com/en/products/round-siphon/,BAT_0209
,,,,,White,https://www.thebathcollection.com/en/products/white-round-siphon/,BAT_0209BL
,,,,,Black,https://www.thebathcollection.com/en/products/black-round-siphon/,BAT_0209NE
,,,,Valve and siphon set,Gray,https://www.thebathcollection.com/en/products/valve-and-siphon-set/,BAT_0219
